Championship,Team A,Team B,Score,Time
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري الإسباني,أتلتيك بلباو,قادش,4 - 1,22:00
مباريات ودية - منتخبات,مصر الأولمبي,الجابون الأولمبي,3 - 0,18:00
الدوري الإسباني,ريال سوسيداد,قادش,0 - 0,22:00
دوري أبطال أفريقيا,الوداد البيضاوي,فيتا كلوب,1 - 0,21:00
الدوري الإسباني,فالنسيا,فياريال,1 - 1,20:30
الدوري الإسباني,اتلتيكو مدريد,قادش,5 - 1,23:00
الدوري الإسباني,خيتافي,سيلتا فيجو,1 - 0,23:00
الدوري الأفريقي لكرة السلة,سلاك,بترو دي لواندا,78 - 95,17:00
الدوري الأفريقي لكرة السلة,فيروفياريو دا بيرا,كيب تاون تايجرز,82 - 76,20:30
الكونفيدرالية الإفريقية,اتحاد العاصمة,يانج افريكانز,0 - 1,22:00
مباريات ودية -أندية,يوفنتوس,ريال مدريد,3 - 1,02:30
مباريات ودية -أندية,تشيلسي,بروسيا دورتموند,1 - 1,03:30
مباريات ودية -أندية,اتلتيكو مدريد,ريال سوسيداد,0 - 0,04:00
مباريات ودية -أندية,باريس سان جيرمان,تشونبك هيونداي,3 - 0,11:00
مباريات ودية -أندية,أستون فيلا,لاتسيو,3 - 0,21:30
الدوري الإنجليزي,ليفربول,أستون فيلا,3 - 0,16:00
الدوري الإنجليزي,كريستال بالاس,وولفرهامبتون,3 - 2,16:00
الدوري الإنجليزي,أرسنال,مانشستر يونايتد,3 - 1,18:30
الدوري الإسباني,جيرونا,لاس بالماس,1 - 0,15:00
الدوري الإسباني,مايوركا,أتلتيك بلباو,0 - 0,17:15
الدوري الإسباني,أوساسونا,برشلونة,1 - 2,22:00
الدوري الإيطالي,إنتر ميلان,فيورنتينا,4 - 0,19:30
الدوري الإيطالي,تورينو,جنوى,1 - 0,19:30
الدوري الإيطالي,إمبولي,يوفنتوس,0 - 2,21:45
الدوري الإيطالي,ليتشي,ساليرنيتانا,2 - 0,21:45
الدوري الألماني,آ. فرانكفورت,كولن,1 - 1,16:30
الدوري الألماني,يونيون برلين,لايبزيج,0 - 3,18:30
الدوري الفرنسي,تولوز,كليرمونت,2 - 2,14:00
الدوري الفرنسي,ميتز,ريمس,2 - 2,16:00
الدوري الفرنسي,ليل,مونبيليه,1 - 0,16:00
الدوري الفرنسي,لوهافر,لوريان,3 - 0,16:00
الدوري الفرنسي,نيس,ستراسبورج,2 - 0,18:05
الدوري الفرنسي,ليون,باريس سان جيرمان,1 - 4,21:45
الدوري المغربي,الرجاء البيضاوي,الجيش الملكي,2 - 2,19:00
الدوري المغربي,نهضة بركان,اتحاد طنجة,2 - 1,21:15
الدوري المغربي,الفتح الرباطي,المغرب الفاسي,0 - 0,21:15
الدوري المغربي,شباب المحمدية,الوداد البيضاوي,2 - 3,23:30
الدوري التركي,بشكتاش,سيفاسبور,2 - 0,19:15
الدوري التركي,سامسون سبور,إسطنبول سبور,- - -,19:15
الدوري التركي,هاتاي سبور,أضنة دمير سبور,3 - 3,21:45
الدوري التركي,أنقرة جوتشو,فنربخشة,0 - 1,21:45
الدوري التونسي,قوافل قفصة,النجم الساحلى,0 - 3,18:00
الدوري التونسي,إتحاد بن قردان,الملعب التونسي,2 - 1,18:00
الدوري التونسي,الأولمبي الباجي,سليمان الرياضي,2 - 1,18:00
الدوري البرتغالي,إستوريل,بوافيستا,1 - 2,17:30
الدوري البرتغالي,شافيش,موريرنسي,1 - 2,17:30
الدوري البرتغالي,بورتو,أروكا,1 - 1,20:00
الدوري البرتغالي,سبورتينج براجا,سبورتينج لشبونة,1 - 1,22:30
البطولة العربية للأندية لكرة السلة,نادي دينامو,الاتحاد السكندري,89 - 96,16:00
البطولة العربية للأندية لكرة السلة,نادي الفتح,نادي وحدة صنعاء,121 - 70,16:00
البطولة العربية للأندية لكرة السلة,نادي اتحاد الجزائر,الأهلي القطري,83 - 54,18:30
البطولة العربية للأندية لكرة السلة,نادي جمعية سلا,نادي القادسية,76 - 66,18:30
تصفيات الأولمبياد - كرة طائرة,سلوفينيا,فنلندا,3 - 1,04:00
تصفيات الأولمبياد - كرة طائرة,الارجنتين,بلغاريا,3 - 0,05:00
تصفيات الأولمبياد - كرة طائرة,صربيا,مصر,3 - 1,07:00
تصفيات الأولمبياد - كرة طائرة,هولندا,بلجيكا,0 - 3,08:00
تصفيات الأولمبياد - كرة طائرة,الولايات المتحدة,تركيا,3 - 1,10:00
تصفيات الأولمبياد - كرة طائرة,بولندا,كندا,3 - 2,11:00
تصفيات الأولمبياد - كرة طائرة,اليابان,تونس‎,3 - 0,13:25
تصفيات الأولمبياد - كرة طائرة,الصين,المكسيك,3 - 0,14:30
تصفيات الأولمبياد - كرة طائرة,إيران,قطر,3 - 0,16:00
تصفيات الأولمبياد - كرة طائرة,كوبا,التشيك,3 - 0,19:30
تصفيات الأولمبياد - كرة طائرة,إيطاليا,أوكرانيا,3 - 0,23:00
الدوري الإنجليزي,لوتون تاون,بيرنلي,1 - 2,21:30
دوري أبطال أوروبا,يونيون برلين,سبورتينج براجا,2 - 3,19:45
دوري أبطال أوروبا,ريد بول سالزبورج,ريال سوسيداد,0 - 2,19:45
دوري أبطال أوروبا,مانشستر يونايتد,جالاتا سراي,2 - 3,22:00
دوري أبطال أوروبا,كوبنهاجن,بايرن ميونيخ,1 - 2,22:00
دوري أبطال أوروبا,لانس,أرسنال,2 - 1,22:00
دوري أبطال أوروبا,إيندهوفن,اشبيلية,2 - 2,22:00
دوري أبطال أوروبا,نابولي,ريال مدريد,2 - 3,22:00
دوري أبطال أوروبا,إنتر ميلان,بنفيكا,1 - 0,22:00
دوري أبطال آسيا,انشيون يونايتد,كايا,4 - 0,13:00
دوري أبطال آسيا,كاواساكي فورنتال,أولسان هيونداي,1 - 0,13:00
دوري أبطال آسيا,شاندونج تايشان,يوكوهاما مارينوس,0 - 1,15:00
دوري أبطال آسيا,باثوم يونايتد,جوهور دارول تاكزيم,2 - 4,15:00
دوري أبطال آسيا,نافباخور نامانجان,مومباي سيتي,3 - 0,17:00
دوري أبطال آسيا,العين,نادي أهال,4 - 2,19:00
دوري أبطال آسيا,الفيحاء,باختاكور,2 - 0,19:00
دوري أبطال آسيا,نساجي مازندران,الهلال,0 - 3,19:00
دوري القسم الثاني-أ,راية الرياضي,وادي دجلة,1 - 1,16:00
دوري القسم الثاني-أ,القناة,بتروجيت,1 - 2,16:00
دوري القسم الثاني-أ,أبو قير للاسمدة,طنطا‏,2 - 1,16:00
دوري القسم الثاني-أ,المصرية للاتصالات,جمهورية شبين,4 - 0,16:00
دوري القسم الثاني-أ,لافيينا أف سي,النصر للتعدين,3 - 0,16:00
الدوري المصري,سموحة,الاتحاد السكندري,0 - 1,16:00
الدوري المصري,الزمالك,زد,1 - 2,19:00
الدوري المصري,سيراميكا كليوباترا,بيراميدز,2 - 0,19:00
الدوري الإسباني,لاس بالماس,اتلتيكو مدريد,2 - 1,22:00
الدوري السعودي,الطــائي,الفيحاء,3 - 3,17:00
الدوري السعودي,الفتح,الهلال,0 - 2,17:00
الدوري السعودي,الشباب,الاتحاد,1 - 0,20:00
الدوري الإيطالي,بولونيا,لاتسيو,1 - 0,21:45
الدوري الألماني,دارمشتات,بوخوم,1 - 2,21:30
الدوري الفرنسي,باريس سان جيرمان,مونبيليه,3 - 0,22:00
الدوري المغربي,الشباب الرياضي السالمي,شباب المحمدية,2 - 2,21:30
الدوري التركي,جالاتا سراي,قاسم باشا,2 - 1,19:00
الدوري البرتغالي,بورتو,إستوريل,0 - 1,22:15
دوري نجوم قطر,الأهلي القطري,الشمال,1 - 2,16:30
دوري نجوم قطر,الوكرة,نادي قطر,1 - 0,16:30
دوري نجوم قطر,الغرافة,العربي,5 - 4,18:30
الدوري الإماراتي,نادي الامارات,حتا,2 - 4,14:45
الدوري الإماراتي,النصر الإماراتي,البطائح,0 - 2,14:45
الدوري الإماراتي,اتحاد كلباء,شباب الأهلي,1 - 3,17:30
الكونفيدرالية الإفريقية,سوبر سبورت,اتحاد العاصمة,0 - 2,15:00
الكونفيدرالية الإفريقية,أبو سليم,ساجرادا اسبيرانسا,1 - 0,15:00
الكونفيدرالية الإفريقية,الهلال الليبي,مودرن فيوتشر,1 - 2,18:00
الكونفيدرالية الإفريقية,دريمز,ريفرز يونايتد,2 - 1,18:00
الكونفيدرالية الإفريقية,أكاديميكا لوبيتو,الافريقي التونسي,1 - 3,18:00
الكونفيدرالية الإفريقية,ستاد مالي,نهضة بركان,1 - 2,18:00
الكونفيدرالية الإفريقية,سوار,الزمالك,0 - 4,21:00
الكونفيدرالية الإفريقية,سيخوخون يونايتد,ديابل نوار,2 - 1,21:00
الدوري الإنجليزي,بورنموث,أستون فيلا,2 - 2,16:00
الدوري الإنجليزي,وست هام يونايتد,كريستال بالاس,1 - 1,16:00
الدوري الإنجليزي,ليفربول,فولهام,4 - 3,16:00
الدوري الإنجليزي,تشيلسي,برايتون,3 - 2,16:00
الدوري الإنجليزي,مانشستر سيتي,توتنهام هوتسبر,3 - 3,18:30
الدوري الإسباني,مايوركا,ألافيس,0 - 0,15:00
الدوري الإسباني,الميريا,ريال بيتيس,0 - 0,17:15
الدوري الإسباني,اشبيلية,فياريال,1 - 1,19:30
الدوري الإسباني,برشلونة,اتلتيكو مدريد,1 - 0,22:00
الدوري الإيطالي,ليتشي,بولونيا,1 - 1,13:30
الدوري الإيطالي,فيورنتينا,ساليرنيتانا,3 - 0,16:00
الدوري الإيطالي,أودينيزي,هيلاس فيرونا,3 - 3,16:00
الدوري الإيطالي,ساسولو,روما,1 - 2,19:00
الدوري الإيطالي,نابولي,إنتر ميلان,0 - 3,21:45
الدوري الألماني,ماينز,فرايبورج,0 - 1,16:30
الدوري الألماني,باير ليفركوزن,بروسيا دورتموند,1 - 1,18:30
الدوري الألماني,أوجسبورج,آ. فرانكفورت,2 - 1,20:30
الدوري الفرنسي,لوهافر,باريس سان جيرمان,0 - 2,14:00
الدوري الفرنسي,تولوز,لوريان,1 - 1,16:00
الدوري الفرنسي,بريست,كليرمونت,3 - 0,16:00
الدوري الفرنسي,موناكو,مونبيليه,2 - 0,16:00
الدوري الفرنسي,ليل,ميتز,2 - 0,18:05
الدوري الفرنسي,مارسيليا,رين,2 - 0,21:45
الدوري التركي,قاسم باشا,غازي عنتاب بي.بي.كي,4 - 2,12:30
الدوري التركي,طرابزون سبور,قيصري سبور,0 - 1,15:00
الدوري التركي,أنقرة جوتشو,بشكتاش,1 - 1,18:00
الدوري البرتغالي,سبورتينج براجا,إستوريل,3 - 1,17:30
الدوري البرتغالي,موريرنسي,بنفيكا,0 - 0,20:00
الدوري البرتغالي,بوافيستا,أروكا,0 - 4,22:30
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
الدوري المصري,بيراميدز,مودرن فيوتشر,- - -,19:00
الدوري المصري,طلائع الجيش,المصري,- - -,19:00
الدوري الإنجليزي,كريستال بالاس,مانشستر يونايتد,- - -,22:00
الدوري السعودي,أهلي جدة,الهلال,- - -,21:00
الدوري الإيطالي,ساليرنيتانا,أتالانتا,- - -,19:00
الدوري الإيطالي,أودينيزي,نابولي,- - -,21:45
الدوري الفرنسي,ليل,ليون,- - -,22:00
الدوري التركي,انطاليا سبور,بينديكسبور,- - -,20:00
الدوري التركي,قونيا سبور,فنربخشة,- - -,20:00
الدوري الإماراتي,خورفكان,العين,- - -,17:05
الدوري الإماراتي,اتحاد كلباء,نادي الامارات,- - -,17:05
الدوري الإماراتي,البطائح,الوصل,- - -,19:45
الدوري الإماراتي,شباب الأهلي,الشــارقة,- - -,19:45
